               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.033434,            0.028962,           0.0013662,             0.75286,             0.78189,             0.82625,             0.48311,            0.024851,            0.011829,          0.00037493,            0.006568,            0.006568,            0.006568
                  54,            0.033042,            0.028872,           0.0015036,             0.77016,              0.7899,             0.84193,             0.49809,            0.023817,            0.011725,          0.00041428,            0.006502,            0.006502,            0.006502
                  55,            0.032595,            0.028717,            0.001564,             0.75005,             0.79454,             0.82769,             0.49437,            0.024194,            0.011827,          0.00028737,            0.006436,            0.006436,            0.006436
                  56,             0.03282,            0.028708,           0.0013689,             0.75511,             0.80664,             0.83739,             0.49561,            0.024154,            0.011583,          0.00035284,             0.00637,             0.00637,             0.00637
                  57,            0.032554,            0.028601,           0.0014611,             0.75713,             0.81204,             0.85156,             0.51429,             0.02379,            0.011243,          0.00038457,            0.006304,            0.006304,            0.006304
                  58,            0.032273,            0.029125,           0.0014385,             0.76579,             0.76963,             0.82582,             0.48026,            0.024344,            0.011957,          0.00031827,            0.006238,            0.006238,            0.006238
                  59,            0.031994,            0.029095,           0.0012896,             0.77688,             0.78787,             0.83925,             0.50789,              0.0231,            0.011459,          0.00037846,            0.006172,            0.006172,            0.006172
                  60,            0.031176,            0.028294,           0.0010955,             0.76134,             0.78601,             0.84499,             0.51108,            0.023354,            0.011406,           0.0003074,            0.006106,            0.006106,            0.006106
                  61,            0.031137,            0.027855,           0.0011599,             0.76557,             0.81295,             0.85219,             0.51136,            0.023321,            0.011251,          0.00031268,             0.00604,             0.00604,             0.00604
                  62,            0.032158,            0.028346,           0.0014342,             0.77822,             0.81104,             0.84704,             0.50608,            0.023237,            0.011483,          0.00042257,            0.005974,            0.005974,            0.005974
                  63,            0.031653,            0.028281,            0.001411,             0.75046,             0.81841,             0.85393,             0.51573,            0.022958,             0.01134,          0.00036746,            0.005908,            0.005908,            0.005908
                  64,            0.031854,            0.028318,           0.0011971,              0.7206,             0.80589,             0.83796,             0.50541,            0.023709,            0.011499,          0.00029164,            0.005842,            0.005842,            0.005842
                  65,            0.031548,            0.027614,           0.0013019,             0.75345,             0.80089,             0.83673,             0.49185,            0.023868,            0.011835,          0.00033793,            0.005776,            0.005776,            0.005776
                  66,            0.031562,            0.027541,           0.0014099,              0.7074,             0.79285,             0.81387,             0.47071,            0.025338,            0.011693,          0.00043338,             0.00571,             0.00571,             0.00571
                  67,            0.031529,            0.028412,           0.0012097,             0.77541,             0.78561,             0.84363,             0.50908,            0.023095,            0.011609,          0.00035856,            0.005644,            0.005644,            0.005644
                  68,            0.030993,            0.028147,           0.0012469,             0.77114,             0.80711,             0.84851,             0.52698,            0.022947,            0.011013,          0.00025888,            0.005578,            0.005578,            0.005578
                  69,            0.030864,            0.028157,           0.0013692,             0.75573,              0.7826,             0.82465,             0.49565,            0.023346,            0.011507,          0.00029662,            0.005512,            0.005512,            0.005512
                  70,            0.031288,            0.027767,           0.0012714,             0.78068,             0.80783,             0.85581,             0.51514,             0.02292,            0.011527,          0.00030986,            0.005446,            0.005446,            0.005446
                  71,            0.030784,            0.027339,          0.00096756,             0.75327,             0.80684,             0.84602,              0.5206,            0.022542,            0.011044,          0.00025938,             0.00538,             0.00538,             0.00538
                  72,            0.031377,            0.027591,          0.00094265,             0.78115,             0.81902,             0.85804,             0.53497,             0.02192,            0.010868,          0.00025001,            0.005314,            0.005314,            0.005314
                  73,            0.030981,            0.027515,           0.0011268,             0.79727,             0.81168,             0.85705,             0.53578,             0.02241,            0.010902,          0.00025653,            0.005248,            0.005248,            0.005248
                  74,            0.031041,            0.027709,           0.0011469,             0.73947,             0.78245,              0.8155,             0.48678,            0.024297,            0.011737,          0.00027993,            0.005182,            0.005182,            0.005182
                  75,            0.031164,            0.027014,           0.0011484,             0.74925,             0.82305,             0.83931,             0.51501,            0.023032,            0.011145,          0.00026835,            0.005116,            0.005116,            0.005116
                  76,              0.0306,            0.027539,           0.0013192,             0.77976,             0.81578,             0.85215,             0.51024,             0.02389,            0.011432,          0.00036769,             0.00505,             0.00505,             0.00505
                  77,            0.030575,             0.02703,            0.001092,             0.80794,             0.82569,             0.87521,             0.55308,            0.022068,             0.01061,          0.00022898,            0.004984,            0.004984,            0.004984
                  78,            0.030766,            0.027344,            0.001153,             0.80187,             0.83784,             0.88155,             0.54484,            0.022194,            0.010879,          0.00037682,            0.004918,            0.004918,            0.004918
                  79,            0.030338,            0.027109,          0.00098492,             0.80578,             0.82052,             0.86978,              0.5369,             0.02232,             0.01085,          0.00020813,            0.004852,            0.004852,            0.004852
                  80,            0.029975,            0.026884,            0.001106,             0.80484,              0.8408,             0.87366,              0.5546,            0.021569,            0.010469,          0.00022346,            0.004786,            0.004786,            0.004786
                  81,            0.030397,            0.027278,          0.00090153,             0.84003,             0.83841,             0.89748,             0.56556,            0.021406,            0.010508,          0.00021328,             0.00472,             0.00472,             0.00472
                  82,            0.030036,            0.026896,          0.00099059,             0.80265,             0.84146,             0.88219,             0.56716,            0.021517,             0.01034,          0.00023573,            0.004654,            0.004654,            0.004654
                  83,            0.030135,            0.026905,           0.0012311,             0.80126,             0.84963,             0.88536,             0.56951,            0.021073,            0.010403,          0.00023216,            0.004588,            0.004588,            0.004588
                  84,            0.029505,            0.026918,          0.00099963,             0.81439,             0.85498,             0.88943,             0.56846,            0.021707,            0.010233,          0.00025268,            0.004522,            0.004522,            0.004522
                  85,            0.029991,            0.027282,           0.0010239,             0.79782,             0.85277,             0.88974,             0.57109,            0.021398,             0.01051,          0.00019909,            0.004456,            0.004456,            0.004456
                  86,            0.029663,             0.02706,          0.00089518,             0.82842,             0.85288,             0.90092,             0.57458,            0.021305,            0.010162,          0.00019034,             0.00439,             0.00439,             0.00439
                  87,            0.029354,            0.026305,          0.00090531,             0.80476,             0.84201,             0.88083,             0.55311,            0.021965,            0.010285,          0.00023241,            0.004324,            0.004324,            0.004324
                  88,            0.029089,            0.026308,           0.0011465,             0.81529,             0.83258,             0.88944,             0.56096,            0.021611,            0.010527,          0.00040842,            0.004258,            0.004258,            0.004258
                  89,            0.029479,             0.02738,           0.0011263,             0.83776,             0.86373,             0.90598,              0.5869,            0.020892,             0.01005,          0.00020914,            0.004192,            0.004192,            0.004192
                  90,            0.029733,            0.026701,           0.0010359,             0.80726,             0.83938,             0.88183,             0.56116,            0.021713,             0.01046,          0.00022021,            0.004126,            0.004126,            0.004126
                  91,            0.029126,            0.026472,           0.0010066,             0.80783,             0.85114,             0.89085,             0.57226,            0.020995,            0.010235,          0.00022492,             0.00406,             0.00406,             0.00406
